Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q32,Q29,Q28,Q31,Q30,Q33,Q36,Q34,Q35,Q38,Q39,Q40,Q37,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,StartDate 
3,5,3,9,8,7,8,7,6,4,6,3,5,6,5,9,8,4,7,9,7,9,6,5,35,5,5,3,2,1,4,1,1,2,8,2,14,124,10,15,14,3,51,10,51,57,1,27,2,2020-03-20
4,7,9,6,10,5,8,8,8,5,4,9,8,8,5,8,9,5,4,5,9,9,3,6,60,4,3,1,3,1,4,1,7,1,8,7,13,123,9,7,10,8,52,13,1,2,2,3,3,2020-03-22
5,6,8,9,7,9,4,8,7,5,7,7,4,8,5,8,6,8,4,7,7,7,9,8,80,1,2,2,1,1,4,1,3,2,7,8,13,122,10,16,19,1,3,13,2,1,4,16,1,2020-03-29
3,4,9,4,6,7,4,7,9,6,5,5,8,6,7,3,5,5,5,3,4,8,4,6,35,4,5,2,2,1,5,2,10,1,10,2,15,134,10,10,16,14,3,3,2,57,9,13,3,2020-03-22
9,9,5,5,5,7,6,9,4,8,3,6,8,7,9,7,6,9,6,4,5,4,4,4,35,4,3,3,4,2,5,1,4,4,3,9,15,117,10,19,18,18,3,9,51,51,8,23,1,2020-03-16
6,9,9,6,6,4,4,3,9,8,9,8,8,5,3,9,8,8,9,8,5,7,9,7,18,6,3,6,7,2,4,1,7,1,9,8,16,109,10,3,16,12,51,7,3,55,7,6,2,2020-03-04
7,6,7,5,5,6,7,5,4,8,9,8,4,8,5,8,7,8,3,8,5,9,7,9,35,4,2,7,3,1,4,2,10,2,10,9,11,132,1,2,18,14,2,5,2,2,3,5,1,2020-03-09
4,8,8,7,9,8,4,7,9,6,6,5,4,5,6,9,5,5,7,6,4,4,5,8,60,4,6,4,6,1,1,2,5,2,8,7,11,116,9,7,9,13,2,10,51,58,7,21,2,2020-03-09
8,4,5,5,4,4,6,8,8,8,7,5,8,3,9,5,8,9,5,8,7,3,8,4,50,4,5,1,2,1,5,1,10,2,8,4,9,127,1,1,15,17,3,5,1,54,8,25,2,2020-03-22
6,8,10,8,3,3,6,8,5,9,4,4,6,8,8,6,5,3,7,6,7,6,9,8,35,2,4,6,6,2,3,2,1,3,5,7,15,121,10,2,16,12,52,15,51,3,10,16,2,2020-03-02
8,6,10,4,9,6,7,6,6,6,6,7,7,3,8,3,4,8,9,7,4,5,7,9,60,2,6,4,2,1,3,1,5,1,7,10,1,108,9,8,19,4,51,11,52,1,2,3,2,2020-03-20
4,5,7,4,3,9,6,4,7,6,8,4,7,5,8,4,6,6,8,5,7,6,7,8,50,4,6,2,3,1,4,1,2,3,3,6,15,1,1,4,6,18,51,10,51,2,4,3,1,2020-03-02
4,6,7,8,5,6,3,6,5,8,8,6,3,4,4,8,4,6,6,6,8,7,8,6,60,6,5,2,5,2,1,2,4,2,10,3,11,109,1,18,19,14,3,12,2,58,3,19,2,2020-03-18
6,8,7,8,5,4,5,4,9,7,3,8,5,8,4,5,5,6,3,8,4,3,5,6,35,6,5,4,4,2,5,2,11,3,9,7,10,109,1,20,3,12,2,2,1,1,3,22,3,2020-03-09
5,7,8,4,8,7,6,4,9,3,4,6,4,5,6,6,5,4,7,5,8,7,4,7,50,4,3,7,5,2,1,2,3,2,1,8,10,131,1,19,13,3,51,14,3,1,5,18,1,2020-03-18
3,6,9,9,2,6,7,3,7,3,7,7,5,4,9,3,7,3,7,5,8,9,7,8,60,2,3,6,1,1,4,2,3,4,6,6,13,116,9,6,4,2,3,7,52,56,5,11,2,2020-03-04
9,8,9,8,8,6,4,7,4,8,6,5,7,5,6,6,7,7,7,9,5,8,8,7,35,5,2,5,2,2,3,2,7,1,4,5,11,126,9,5,15,8,2,5,51,55,4,19,1,2020-03-30
4,3,5,8,2,6,9,5,4,4,8,9,4,5,8,3,7,5,8,9,4,9,6,7,80,2,6,6,6,1,3,2,2,3,5,2,9,117,10,8,15,12,51,2,1,55,7,4,3,2020-03-06
7,7,10,5,8,6,5,6,5,5,4,4,7,4,4,8,5,7,6,5,5,3,9,6,35,3,5,1,5,1,4,1,7,1,9,7,17,114,10,6,12,15,3,8,51,55,3,8,2,2020-03-21
4,5,3,5,7,9,5,6,5,7,8,8,6,6,5,6,4,3,9,8,4,4,8,7,50,4,4,2,4,1,4,1,4,4,6,9,1,110,9,8,11,15,52,10,3,55,9,14,3,2020-03-01
8,8,9,4,4,8,5,7,7,4,6,4,8,8,3,7,4,7,7,9,9,3,5,6,50,1,1,7,7,1,5,1,5,1,10,8,9,109,10,19,18,3,51,14,3,52,3,14,1,2020-03-22
3,8,9,3,8,3,7,8,8,3,5,3,8,5,7,6,4,3,6,4,7,6,6,7,50,5,5,6,4,1,3,1,8,3,6,2,16,123,9,13,11,14,51,7,52,58,5,8,1,2020-03-27
8,3,7,4,3,5,9,6,7,8,8,5,7,4,5,4,4,6,3,9,4,4,7,5,60,2,2,2,1,1,1,1,3,3,7,8,13,129,1,3,17,15,52,13,2,56,6,20,2,2020-03-25
6,8,10,6,5,6,8,7,4,5,6,6,3,6,5,8,7,4,9,5,6,6,5,9,50,5,2,2,3,2,1,1,4,4,2,4,9,134,9,6,17,16,3,10,2,56,9,6,2,2020-03-16
7,6,6,7,6,7,6,8,5,4,7,6,7,3,7,7,9,7,7,3,6,3,5,7,60,2,5,3,2,2,4,2,5,4,8,7,9,115,10,6,7,7,3,2,1,55,4,15,2,2020-03-24
4,5,8,5,3,3,7,8,5,3,8,7,4,6,7,3,3,4,8,5,5,4,7,5,35,3,3,1,5,1,4,1,10,3,6,8,11,107,1,9,4,10,2,10,3,52,5,6,3,2020-03-23
3,7,8,7,10,9,3,6,9,3,5,7,8,6,9,4,5,3,6,7,9,7,8,7,60,2,4,7,3,1,5,1,3,1,3,5,15,125,9,20,11,12,3,13,3,3,2,23,2,2020-03-28
7,8,8,6,8,3,7,5,8,7,7,8,5,3,4,5,6,4,6,5,9,5,7,9,80,2,5,2,4,2,4,2,2,3,10,3,16,125,9,15,2,19,51,10,2,2,9,27,3,2020-03-23
4,4,9,7,10,8,6,7,8,6,4,6,5,7,6,7,8,8,7,3,8,4,7,6,80,5,5,2,6,1,5,1,6,4,3,3,15,1,10,13,13,8,2,10,1,1,6,29,2,2020-03-07
8,5,7,7,5,4,3,4,5,8,5,9,6,7,7,5,8,8,9,6,3,4,5,3,60,5,5,2,2,1,4,2,10,3,4,3,10,123,9,7,6,9,51,1,3,54,9,14,1,2020-03-24
7,8,8,9,5,7,4,5,9,6,6,5,4,5,3,9,9,4,6,6,6,8,6,7,35,2,3,3,3,1,1,2,11,3,9,10,9,113,11,5,10,13,52,14,3,1,1,6,3,2020-03-05
5,5,3,4,8,5,3,5,6,7,6,8,5,4,3,4,8,7,4,5,6,5,7,7,35,5,4,3,6,1,3,1,6,2,10,7,10,128,9,9,2,17,51,11,52,1,9,3,3,2020-03-01
7,7,4,4,9,8,5,6,4,4,4,6,7,3,3,3,7,9,5,4,4,7,6,6,18,3,3,3,6,2,5,1,3,3,4,9,16,132,1,13,12,5,51,7,1,54,9,7,1,2020-03-27
6,5,9,5,8,7,7,4,5,8,3,4,4,4,9,6,5,5,6,8,7,7,8,4,35,1,2,2,2,1,3,2,7,1,2,3,16,113,11,19,16,11,2,15,2,52,3,19,2,2020-03-27
4,7,6,9,7,9,8,3,5,7,5,8,6,7,7,5,5,3,6,4,7,3,7,6,35,3,5,2,1,1,3,1,9,3,2,2,12,126,10,8,6,1,51,10,51,1,9,14,2,2020-03-02
8,6,6,5,10,6,4,5,3,7,8,7,5,8,8,7,4,7,7,6,4,7,3,5,60,6,1,5,5,2,1,1,4,1,6,9,12,110,1,15,2,19,1,8,2,54,2,15,3,2020-03-07
6,6,4,5,5,7,3,8,5,4,6,5,7,8,3,3,5,6,6,8,7,8,4,6,50,3,2,2,2,2,5,2,4,2,4,7,9,108,9,4,14,15,51,8,3,56,6,6,1,2020-03-14
5,9,4,5,6,8,4,6,5,4,8,8,5,6,4,4,4,3,5,9,8,6,8,6,18,2,3,2,7,2,1,2,9,4,10,1,12,133,11,8,3,13,3,5,3,57,8,28,2,2020-03-21
5,5,6,8,7,9,3,6,5,7,9,7,7,6,6,3,8,6,7,5,6,5,5,4,60,1,4,1,3,2,1,2,6,2,2,4,13,122,10,5,10,10,2,5,51,52,2,20,2,2020-03-22
5,7,7,4,6,3,7,4,7,3,8,8,7,4,8,9,5,4,3,4,8,8,6,8,50,4,6,5,4,1,5,2,8,3,9,3,14,122,1,9,18,11,51,10,51,54,2,29,1,2020-03-10
8,5,5,4,4,8,5,7,7,3,9,5,8,3,7,5,9,4,4,7,4,3,7,5,35,4,2,4,4,2,3,2,3,3,10,9,12,127,9,13,13,13,51,12,2,52,6,3,1,2020-03-13
8,4,9,5,5,3,8,4,4,5,9,8,4,6,4,3,8,4,7,8,7,6,9,7,80,5,5,2,4,2,3,2,5,4,3,4,11,117,9,19,12,14,3,2,51,1,2,12,2,2020-03-02
8,6,6,7,9,7,5,7,5,6,5,3,8,6,4,6,8,6,8,6,8,7,8,8,35,3,6,4,7,2,4,1,3,3,4,6,12,119,10,13,2,5,1,7,51,52,4,17,2,2020-03-08
4,4,5,4,7,8,5,6,4,5,4,9,7,5,9,8,4,7,8,5,8,5,8,8,18,5,5,5,1,1,5,2,2,1,6,4,9,124,10,17,15,2,52,12,2,52,4,14,2,2020-03-30
7,7,4,6,3,9,4,6,7,7,9,8,8,5,3,3,7,7,8,9,9,9,8,5,18,2,4,5,4,1,5,1,8,2,7,8,15,106,10,2,14,12,2,4,2,2,2,12,3,2020-03-20
3,4,8,5,8,7,6,8,7,7,6,9,4,5,5,8,9,6,5,4,6,8,5,3,18,6,6,5,2,2,3,1,2,4,6,4,10,116,11,15,12,3,51,2,2,2,2,7,2,2020-03-17
8,7,7,4,2,6,8,8,3,8,7,6,7,3,7,8,5,6,5,8,6,6,5,7,35,4,4,7,7,2,4,2,9,4,5,4,13,117,10,7,1,12,2,3,2,51,3,12,1,2020-03-12
6,7,9,5,3,9,6,5,9,6,7,7,6,9,4,8,9,7,8,6,4,7,8,8,50,5,3,2,2,1,1,1,9,3,5,10,13,126,10,4,10,9,2,3,3,51,6,24,2,2020-03-10
4,9,8,6,5,7,9,7,8,4,8,6,6,4,4,7,9,7,6,7,7,5,4,4,80,3,3,1,5,1,4,2,5,3,9,5,15,115,10,17,9,16,51,13,2,52,4,14,3,2020-03-17
5,8,5,4,8,7,9,7,6,9,6,7,5,3,8,8,6,6,7,5,7,9,5,9,50,2,5,1,4,1,5,1,2,2,7,5,13,134,10,6,14,12,2,4,51,57,3,18,2,2020-03-06
8,4,4,7,8,5,8,8,5,6,8,3,8,8,9,5,4,8,8,7,3,8,8,9,18,5,2,4,2,2,1,1,5,1,6,8,17,122,10,14,16,6,51,9,52,54,2,9,1,2020-03-10
8,5,8,5,8,7,7,6,6,4,5,4,5,4,9,8,6,7,3,6,6,4,9,8,80,6,3,6,3,1,1,2,9,3,3,4,9,129,1,14,14,15,3,13,51,2,1,11,1,2020-03-18
8,9,9,3,5,4,6,4,6,8,4,6,4,8,8,8,3,8,6,6,4,3,4,4,35,5,3,7,7,2,4,1,7,1,4,3,9,124,9,3,13,13,2,2,51,51,5,17,2,2020-03-29
4,7,10,6,10,4,6,6,8,8,7,4,4,9,7,6,5,5,4,5,4,9,7,9,18,4,2,3,2,2,3,2,3,2,7,8,14,113,9,5,11,12,3,4,2,57,2,12,3,2020-03-16
5,9,8,6,7,8,3,6,9,5,6,4,4,6,9,4,7,4,6,6,5,4,4,8,50,4,3,2,2,1,4,2,6,2,2,7,13,125,9,19,11,16,51,15,3,56,3,17,1,2020-03-28
9,7,5,4,9,5,6,6,7,5,8,8,4,5,6,6,5,6,5,9,4,9,8,4,35,4,2,2,6,2,3,2,1,1,3,7,9,115,10,2,5,2,51,1,3,55,7,27,1,2020-03-14
7,5,6,4,5,7,6,9,7,7,5,8,7,3,5,6,6,5,3,9,8,9,4,4,50,5,2,6,2,2,1,2,3,1,5,5,10,133,10,7,19,6,51,2,51,57,7,12,2,2020-03-30
4,6,6,5,6,8,5,7,7,5,3,7,9,9,7,5,6,8,9,7,5,7,4,7,50,2,6,4,5,1,4,2,10,4,8,2,16,123,9,15,18,18,52,6,3,56,7,29,2,2020-03-20
5,8,9,9,5,4,9,8,7,6,6,7,5,3,8,4,5,4,8,4,4,7,8,7,50,4,1,2,3,1,4,1,8,2,2,4,11,113,10,2,18,9,52,4,51,3,7,7,1,2020-03-28
7,8,10,3,9,7,8,5,7,4,7,8,3,5,7,9,8,8,8,5,7,7,9,8,50,3,2,3,7,1,5,1,8,4,6,5,9,120,9,8,4,7,2,5,1,52,9,28,2,2020-03-05
5,7,4,6,3,8,3,8,7,7,6,7,9,5,7,5,8,4,3,8,9,8,6,9,18,5,2,4,2,2,3,2,10,2,1,1,16,134,9,15,13,20,51,4,51,2,9,21,2,2020-03-25
8,5,7,6,5,6,5,5,6,8,5,6,8,6,8,8,6,6,5,3,8,5,6,4,60,5,2,3,6,1,1,1,11,4,7,8,13,114,9,12,9,10,3,5,2,55,1,9,2,2020-03-17
9,5,4,3,2,7,6,6,7,8,7,8,8,6,8,9,6,3,7,9,4,5,4,8,50,2,3,5,7,1,4,1,11,2,5,8,9,110,10,1,13,2,2,14,51,52,8,15,2,2020-03-23
4,7,6,3,6,6,7,5,5,9,5,8,4,6,5,8,8,5,7,8,5,9,6,9,50,1,2,6,6,1,1,1,10,1,3,5,10,123,1,5,2,16,2,13,52,58,1,18,2,2020-03-13
7,8,6,4,8,6,6,6,8,3,8,6,4,4,7,5,7,3,4,4,5,4,5,8,35,2,3,3,4,1,1,2,2,2,2,9,12,132,9,12,12,10,2,5,1,3,3,13,1,2020-03-16
6,3,10,7,8,5,6,4,3,5,7,4,5,4,5,8,6,4,6,8,7,5,8,8,80,1,3,3,2,2,3,1,2,3,5,1,11,112,9,2,10,8,3,14,3,55,3,9,2,2020-03-21
4,9,4,3,2,6,8,7,4,5,4,7,8,7,3,4,5,9,6,7,3,8,4,4,35,3,1,5,5,1,4,2,8,3,6,7,10,130,11,14,3,12,52,12,52,57,3,28,2,2020-03-16
6,6,5,6,9,9,8,4,8,7,4,6,8,7,8,4,5,7,6,9,8,9,3,4,60,2,2,6,4,2,1,2,10,4,4,3,15,110,10,11,10,4,3,3,1,3,5,8,2,2020-03-25
3,5,7,6,9,6,4,5,9,7,3,8,6,7,5,7,7,5,8,4,6,3,8,8,35,3,5,4,6,2,4,2,3,2,4,6,12,119,11,4,5,13,2,12,3,56,5,6,1,2020-03-01
6,4,8,5,6,6,8,7,7,5,4,9,4,7,8,3,5,5,7,8,9,5,3,7,80,4,2,6,3,1,4,2,4,2,5,9,10,114,1,17,17,3,1,13,51,2,8,7,2,2020-03-06
7,7,5,6,2,7,3,4,4,5,3,6,4,8,7,6,5,6,4,4,4,7,7,6,35,4,1,7,2,2,4,2,3,1,5,7,11,128,11,18,5,17,52,11,2,54,3,23,3,2020-03-22
8,4,7,4,6,9,5,3,6,8,9,9,8,7,8,5,6,4,4,7,4,4,6,5,60,4,2,3,6,1,3,2,9,2,1,6,15,133,9,5,2,3,51,2,2,51,4,17,3,2020-03-15
5,4,7,5,7,6,4,5,8,9,6,6,6,7,3,6,9,8,4,4,8,9,4,4,35,5,3,2,6,2,3,2,8,3,5,5,11,128,9,18,10,15,2,14,51,2,10,11,3,2020-03-07
4,8,8,3,3,4,7,6,4,4,5,9,7,9,8,5,4,4,8,9,8,5,7,7,60,2,3,3,3,2,5,1,6,3,5,4,12,113,11,9,9,3,2,2,51,55,7,13,2,2020-03-13
7,4,6,6,9,8,4,7,5,9,8,9,7,7,6,8,8,8,4,3,7,9,5,4,80,3,3,6,4,2,3,1,5,4,6,2,1,109,10,19,1,17,2,11,3,56,2,16,3,2020-03-02
6,6,10,9,8,5,7,8,6,6,8,4,8,6,7,8,4,3,5,6,4,7,8,6,35,2,2,5,2,2,3,1,5,1,3,7,14,119,11,10,7,8,52,11,51,3,3,21,3,2020-03-02
6,5,7,9,10,8,6,5,5,5,9,4,8,5,3,6,7,9,6,7,4,7,8,7,50,3,6,4,5,1,3,2,8,4,8,3,1,107,10,9,4,8,2,7,2,52,8,29,2,2020-03-05
7,8,9,3,3,9,9,8,5,7,6,7,4,6,4,8,6,9,4,7,3,6,9,6,50,1,4,3,5,1,5,2,4,3,4,2,10,117,10,4,19,6,2,13,1,3,6,8,2,2020-03-08
9,5,9,4,8,5,5,3,8,5,5,3,4,5,6,6,5,5,6,7,5,4,4,8,18,5,1,2,5,1,4,1,2,3,3,8,9,115,10,19,18,2,51,6,51,56,5,29,2,2020-03-27
4,6,5,7,9,4,7,7,6,6,4,6,7,3,6,4,4,7,4,9,9,3,4,5,50,2,1,4,4,1,4,1,9,2,10,3,17,128,9,20,10,8,52,7,1,58,2,22,1,2020-03-30
9,7,3,4,8,7,7,9,9,9,8,6,8,5,3,5,7,5,3,6,8,5,4,7,35,3,6,4,2,1,3,1,2,3,7,4,17,106,9,8,7,17,51,10,51,51,8,26,1,2020-03-09
5,7,6,4,3,8,5,7,5,6,4,6,9,8,5,9,9,5,4,7,4,6,8,5,35,2,4,1,2,2,4,2,10,4,6,5,9,112,9,11,19,15,51,12,3,57,9,1,3,2020-03-17
4,6,7,7,10,8,8,4,5,8,5,8,5,4,6,7,8,6,7,4,6,7,8,5,50,5,4,6,2,2,4,1,10,1,3,3,14,123,9,8,18,6,1,14,51,56,2,8,2,2020-03-05
5,9,9,8,3,6,8,4,8,8,5,4,6,5,8,6,7,4,7,8,8,6,3,4,50,3,4,2,4,1,1,1,8,4,7,6,10,122,10,15,20,12,2,6,3,2,4,12,1,2020-03-24
4,9,3,4,7,8,9,7,6,4,4,5,8,6,9,6,7,8,7,4,7,6,8,7,50,4,5,3,3,2,3,2,10,3,8,6,9,114,11,2,8,5,51,6,51,56,7,2,2,2020-03-21
9,7,4,6,9,7,7,5,6,4,4,9,9,7,8,6,8,7,3,4,7,5,7,9,50,3,2,5,6,1,3,1,5,3,7,1,16,111,9,2,17,17,3,7,51,56,9,12,1,2020-03-25
5,5,10,4,6,8,8,5,9,9,6,6,4,3,6,6,3,5,3,4,4,9,8,7,18,6,5,6,2,1,4,2,11,3,7,5,11,116,11,1,19,11,51,11,51,2,6,12,1,2020-03-22
5,9,5,6,3,7,5,4,4,4,7,8,5,7,4,8,4,6,5,4,6,5,7,3,60,2,4,3,2,1,3,2,4,2,4,3,12,123,9,7,11,6,1,4,3,54,5,23,1,2020-03-02
8,6,8,3,4,5,8,4,4,3,5,8,4,7,4,8,3,4,4,7,8,5,6,4,50,3,5,3,4,1,4,1,2,2,5,4,16,122,10,9,18,10,52,5,3,51,5,30,3,2020-03-29
4,4,9,6,10,8,6,8,6,8,3,4,5,4,6,3,9,5,5,4,4,5,7,8,80,4,6,2,6,2,4,2,9,2,7,9,12,108,1,15,14,15,2,11,1,52,4,21,3,2020-03-17
8,7,9,6,5,7,6,9,5,8,9,9,4,7,5,7,6,3,7,8,9,4,4,3,50,6,1,7,6,2,4,2,8,3,3,6,15,117,10,9,2,8,1,4,51,55,2,17,1,2020-03-30
7,4,5,6,8,6,9,4,4,8,6,7,7,8,5,7,8,3,5,9,9,7,5,8,18,5,1,1,4,1,3,1,2,3,6,8,14,107,1,9,17,14,1,1,51,2,2,25,2,2020-03-12
7,7,3,5,2,8,7,3,8,3,6,3,4,9,9,6,6,3,7,4,5,9,4,6,18,3,2,5,4,1,4,1,7,1,10,9,10,107,10,2,13,20,1,10,51,2,9,11,2,2020-03-02
3,4,6,5,6,7,4,4,8,6,7,3,5,3,5,4,6,5,8,7,7,6,6,9,50,3,1,4,3,2,1,2,5,4,9,5,10,112,10,18,8,8,2,12,2,56,5,3,3,2020-03-27
8,6,3,9,2,4,8,6,8,5,4,8,3,7,7,6,9,9,6,8,8,8,4,8,60,6,2,4,5,1,3,2,3,4,5,2,12,119,9,5,5,8,51,3,52,52,1,22,2,2020-03-17
5,5,6,6,8,6,9,7,9,5,5,8,5,4,8,6,6,5,8,8,7,8,7,8,35,6,4,3,3,2,3,2,9,4,4,5,12,124,9,6,5,7,51,14,3,1,3,16,3,2020-03-04
5,9,10,5,9,6,7,7,7,8,4,6,4,4,5,5,8,3,3,7,6,5,9,3,80,6,6,5,4,2,3,1,9,4,7,2,15,118,1,16,18,10,3,10,3,52,8,17,3,2020-03-06
9,5,4,7,8,8,7,4,9,9,7,6,5,9,4,4,4,8,4,4,5,8,7,3,35,6,5,1,5,2,3,1,3,3,8,10,13,119,10,1,6,18,1,12,2,2,3,5,2,2020-03-27
7,7,7,6,3,4,8,4,5,9,6,7,6,6,7,4,8,3,8,4,4,4,6,5,60,4,4,6,7,1,3,2,8,2,4,7,10,121,10,15,7,18,1,9,2,2,9,15,3,2020-03-27
8,8,4,7,4,7,9,8,8,5,9,5,7,6,3,4,7,4,7,5,5,5,5,9,60,2,5,6,2,2,3,2,6,4,3,9,1,133,11,4,18,12,2,10,3,2,9,2,3,2020-03-29
5,4,6,7,7,6,3,3,8,7,6,6,7,8,5,8,7,5,9,8,5,6,6,3,60,3,3,6,3,2,4,1,6,4,2,1,14,130,11,3,6,17,3,11,1,57,3,28,1,2020-03-06
8,7,7,8,9,9,8,6,3,7,8,5,6,8,8,5,3,4,3,9,4,5,6,9,60,6,4,1,4,1,1,2,9,3,4,4,10,108,10,5,13,18,51,3,2,57,7,14,2,2020-03-12
3,7,4,7,7,5,5,7,7,7,8,7,5,5,7,3,3,8,6,4,9,9,7,4,18,4,5,4,6,1,4,1,7,1,8,9,10,126,1,2,7,18,3,5,2,58,2,25,2,2020-03-06
9,5,5,4,4,7,8,6,6,3,8,8,5,4,4,5,7,5,3,4,5,4,3,5,60,2,3,5,4,1,3,1,10,3,8,4,11,123,10,3,13,4,51,14,52,54,5,27,2,2020-03-28
